Area,CIPFamilyName
Agriculture,Agricultural/Animal/Plant/Veterinary Science And Related Fields
Conservation,Natural Resources And Conservation
Architecture,Architecture And Related Services
Group Studies,"Area, Ethnic, Cultural, Gender, And Group Studies"
Communication,"Communication, Journalism, And Related Programs"
Technology,Communications Technologies/Technicians And Support Services
Comp Sci,Computer And Information Sciences And Support Services
Culinary,"Culinary, Entertainment, And Personal Services"
Education,Education
Engineering,Engineering
Engineering,Engineering/Engineering-Related Technologies/Technicians
Languages,"Foreign Languages, Literatures, And Linguistics"
Family,Family And Consumer Sciences/Human Sciences
Law,Legal Professions And Studies
English,English Language And Literature/Letters
Liberal Arts,"Liberal Arts And Sciences, General Studies And Humanities"
Library,Library Science
Biology,Biological And Biomedical Sciences
Math & Stats,Mathematics And Statistics
Military,"Military Science, Leadership And Operational Art"
Military,Military Technologies And Applied Sciences
Interdisciplinary,Multi/Interdisciplinary Studies
Leisure,"Parks, Recreation, Leisure, Fitness, And Kinesiology"
Education,Basic Skills And Developmental/Remedial Education
Citizenship,Citizenship Activities
Health,Health-Related Knowledge And Skills
Interpersonal,Interpersonal And Social Skills
Leisure,Leisure And Recreational Activities
Self-Improvement,Personal Awareness And Self-Improvement
Philosophy & Religion,Philosophy And Religious Studies
Philosophy & Religion,Theology And Religious Vocations
Physical Sci,Physical Sciences
Technology,Science Technologies/Technicians
Psychology,Psychology
Security,"Homeland Security, Law Enforcement, Firefighting And Related Protective Services"
Public Admin,Public Administration And Social Service Professions
Social Sci,Social Sciences
Construction,Construction Trades
Technology,Mechanic And Repair Technologies/Technicians
Business,Precision Production
Business,Transportation And Materials Moving
Arts,Visual And Performing Arts
Health,Health Professions And Related Programs
Business,"Business, Management, Marketing, And Related Support Services"
High School,High School/Secondary Diplomas And Certificates
History,History
Health,Health Professions Residency/Fellowship Programs
Health,Medical Residency/Fellowship Programs
