State abbreviation,AntiTrans
AL,4: High risk
AK,3: Moderate risk
AZ,2: Low risk
AR,4: High risk
CA,1: Safest
CO,1: Safest
CT,1: Safest
DE,2: Low risk
FL,6: Do not travel
GA,3: Moderate risk
HI,1: Safest
ID,3: Moderate risk
IL,1: Safest
IN,3: Moderate risk
IA,3: Moderate risk
KS,5: Worst
KY,4: High risk
LA,3: Moderate risk
ME,2: Low risk
MD,1: Safest
MA,1: Safest
MI,2: Low risk
MN,1: Safest
MS,4: High risk
MO,4: High risk
MT,5: Worst
NE,4: High risk
NV,2: Low risk
NH,2: Low risk
NJ,1: Safest
NM,1: Safest
NY,1: Safest
NC,3: Moderate risk
ND,5: Worst
OH,3: Moderate risk
OK,5: Worst
OR,1: Safest
PA,2: Low risk
RI,2: Low risk
SC,4: High risk
SD,3: Moderate risk
TN,5: Worst
TX,4: High risk
UT,3: Moderate risk
VT,1: Safest
VA,2: Low risk
WA,1: Safest
WV,4: High risk
WI,2: Low risk
WY,3: Moderate risk
