State abbreviation,Restrictions
AL,7: Most restrictive
AK,3: Protective
AZ,6: Very restrictive
AR,7: Most restrictive
CA,2: Very protective
CO,3: Protective
CT,3: Protective
DE,4: Some restrictions/protections
FL,7: Most restrictive
GA,6: Very restrictive
HI,3: Protective
ID,7: Most restrictive
IL,3: Protective
IN,5: Restrictive
IA,5: Restrictive
KS,5: Restrictive
KY,7: Most restrictive
LA,7: Most restrictive
ME,3: Protective
MD,2: Very protective
MA,3: Protective
MI,2: Very protective
MN,2: Very protective
MS,7: Most restrictive
MO,7: Most restrictive
MT,3: Protective
NE,6: Very restrictive
NV,4: Some restrictions/protections
NH,4: Some restrictions/protections
NJ,2: Very protective
NM,2: Very protective
NY,2: Very protective
NC,5: Restrictive
ND,7: Most restrictive
OH,5: Restrictive
OK,7: Most restrictive
OR,1: Most protective
PA,5: Restrictive
RI,4: Some restrictions/protections
SC,7: Most restrictive
SD,7: Most restrictive
TN,7: Most restrictive
TX,7: Most restrictive
UT,6: Very restrictive
VT,1: Most protective
VA,5: Restrictive
WA,3: Protective
WV,7: Most restrictive
WI,5: Restrictive
WY,5: Restrictive
DC,3: Protective
