State,grade2024
Alabama,F
Alaska,F
Arizona,F
Arkansas,F
California,A
Colorado,A-
Connecticut,A
Delaware,B+
Florida,D+
Georgia,F
Hawaii,A-
Idaho,F
Illinois,A-
Indiana,D-
Iowa,F
Kansas,F
Kentucky,F
Louisiana,F
Maine,D-
Maryland,A-
Massachusetts,A-
Michigan,B-
Minnesota,B
Mississippi,F
Missouri,F
Montana,F
Nebraska,C-
Nevada,B-
New Hampshire,D-
New Jersey,A
New Mexico,C+
New York,A-
North Carolina,C-
North Dakota,F
Ohio,D-
Oklahoma,F
Oregon,A-
Pennsylvania,B
Rhode Island,B+
South Carolina,D-
South Dakota,F
Tennessee,F
Texas,F
Utah,F
Vermont,B-
Virginia,B+
Washington,A-
West Virginia,F
Wisconsin,C
Wyoming,F
